~~~~~+1/+1 Counters~~~~~
    Selesnya (GW): 681
    Simic (GU): 392
    Golgari (BG): 344
    Mono Green: 337
    Abzan (WBG): 328
    Gruul (RG): 296
    Orzhov (WB): 287
    Mono White: 236
    Sultai (BGU): 213
    Temur (GUR): 184
    Bant (GWU): 184
    Growth (WUBG): 173
    Naya (RGW): 157
    Grixis (UBR): 145
    Esper (WUB): 137
    Mardu (RWB): 132
    Jund (BRG): 118
    Boros (RW): 115
    Five Color (WUBRG): 104
    Mono Black: 83
    Azorius (WU) : 77
    Rakdos (BR): 74
    Dimir (UB): 43
    Mono Red: 40
    Jeskai (URW): 35
    Izzet (UR): 32
    Aggression (WBRG): 30
    Mono Blue: 23
    Altruism (WURG): 14
    Chaos (UBRG): 12
    Artifice (WUBR): 10
~~~~~Reanimator~~~~~
    Mono Black: 552
    Dimir (UB): 536
    Golgari (BG): 529
    Rakdos (BR): 427
    Esper (WUB): 384
    Abzan (WBG): 374
    Orzhov (WB): 355
    Sultai (BGU): 339
    Mardu (RWB): 279
    Grixis (UBR): 257
    Jund (BRG): 239
    Five Color (WUBRG): 160
    Boros (RW): 120
    Mono Red: 79
    Azorius (WU) : 49
    Mono White: 39
    Growth (WUBG): 29
    Aggression (WBRG): 25
    Selesnya (GW): 25
    Mono Blue: 19
    Artifice (WUBR): 18
    Naya (RGW): 15
    Gruul (RG): 15
    Chaos (UBRG): 14
    Mono Green: 13
    Simic (GU): 12
    Altruism (WURG): 10
    Bant (GWU): 10
    Jeskai (URW): 9
    Izzet (UR): 7
    Temur (GUR): 4
~~~~~-1/-1 Counters~~~~~
    Mono Black: 120
    Golgari (BG): 115
    Dimir (UB): 72
    Sultai (BGU): 47
    Growth (WUBG): 45
    Rakdos (BR): 42
    Abzan (WBG): 31
    Bant (GWU): 27
    Orzhov (WB): 21
    Simic (GU): 14
    Jund (BRG): 13
    Esper (WUB): 13
    Grixis (UBR): 12
    Mono Green: 11
    Aggression (WBRG): 9
    Mardu (RWB): 9
    Selesnya (GW): 9
    Azorius (WU) : 7
    Mono Blue: 7
    Mono White: 7
    Altruism (WURG): 6
    Chaos (UBRG): 6
    Artifice (WUBR): 6
    Jeskai (URW): 6
    Boros (RW): 5
    Izzet (UR): 5
    Five Color (WUBRG): 5
    Temur (GUR): 5
    Naya (RGW): 5
    Gruul (RG): 5
    Mono Red: 3
~~~~~Aggro~~~~~
    Gruul (RG): 776
    Mono Red: 750
    Mardu (RWB): 685
    Boros (RW): 642
    Mono Green: 444
    Rakdos (BR): 437
    Naya (RGW): 431
    Five Color (WUBRG): 367
    Dimir (UB): 308
    Mono White: 303
    Selesnya (GW): 286
    Golgari (BG): 285
    Jund (BRG): 254
    Izzet (UR): 187
    Mono Black: 169
    Simic (GU): 157
    Temur (GUR): 157
    Orzhov (WB): 147
    Bant (GWU): 142
    Grixis (UBR): 129
    Azorius (WU) : 122
    Esper (WUB): 119
    Aggression (WBRG): 111
    Mono Blue: 105
    Abzan (WBG): 100
    Jeskai (URW): 79
    Sultai (BGU): 68
    Artifice (WUBR): 33
    Growth (WUBG): 32
    Altruism (WURG): 17
    Chaos (UBRG): 16
~~~~~Aristocrats~~~~~
    Orzhov (WB): 729
    Golgari (BG): 632
    Mono Black: 577
    Mardu (RWB): 383
    Jund (BRG): 349
    Rakdos (BR): 305
    Abzan (WBG): 240
    Dimir (UB): 217
    Grixis (UBR): 128
    Esper (WUB): 108
    Sultai (BGU): 52
    Boros (RW): 42
    Mono Red: 30
    Mono Green: 27
    Five Color (WUBRG): 23
    Aggression (WBRG): 22
    Gruul (RG): 22
    Naya (RGW): 20
    Artifice (WUBR): 19
    Selesnya (GW): 17
    Mono Blue: 15
    Azorius (WU) : 14
    Mono White: 13
    Simic (GU): 12
    Izzet (UR): 10
    Temur (GUR): 10
    Altruism (WURG): 7
    Growth (WUBG): 7
    Jeskai (URW): 6
    Bant (GWU): 6
    Chaos (UBRG): 5
~~~~~Combo~~~~~
    Five Color (WUBRG): 765
    Izzet (UR): 760
    Golgari (BG): 701
    Grixis (UBR): 654
    Dimir (UB): 643
    Mono Blue: 630
    Mono Black: 627
    Mono Red: 601
    Esper (WUB): 584
    Simic (GU): 574
    Sultai (BGU): 551
    Rakdos (BR): 505
    Jeskai (URW): 435
    Temur (GUR): 419
    Azorius (WU) : 411
    Mono Green: 394
    Jund (BRG): 393
    Mardu (RWB): 389
    Boros (RW): 362
    Orzhov (WB): 358
    Abzan (WBG): 330
    Gruul (RG): 330
    Selesnya (GW): 307
    Naya (RGW): 301
    Bant (GWU): 289
    Artifice (WUBR): 229
    Mono White: 223
    Altruism (WURG): 128
    Growth (WUBG): 115
    Chaos (UBRG): 107
