example of how to read this (using the first line): 12.67% of +1/+1 counter tagged decks have the selesnya tag

~~~~~+1/+1 Counters~~~~~
    Selesnya (GW): 12.67%
    Simic (GU): 7.29%
    Golgari (BG): 6.4%
    Mono Green: 6.27%
    Abzan (WBG): 6.1%
    Gruul (RG): 5.51%
    Orzhov (WB): 5.34%
    Mono White: 4.39%
    Sultai (BGU): 3.96%
    Temur (GUR): 3.42%
    Bant (GWU): 3.42%
    Growth (WUBG): 3.22%
    Naya (RGW): 2.92%
    Grixis (UBR): 2.7%
    Esper (WUB): 2.55%
    Mardu (RWB): 2.46%
    Jund (BRG): 2.2%
    Boros (RW): 2.14%
    Five Color (WUBRG): 1.94%
    Mono Black: 1.54%
    Azorius (WU) : 1.43%
    Rakdos (BR): 1.38%
    Dimir (UB): 0.8%
    Mono Red: 0.74%
    Jeskai (URW): 0.65%
    Izzet (UR): 0.6%
    Aggression (WBRG): 0.56%
    Mono Blue: 0.43%
    Altruism (WURG): 0.26%
    Chaos (UBRG): 0.22%
    Artifice (WUBR): 0.19%
~~~~~Reanimator~~~~~
    Mono Black: 10.7%
    Dimir (UB): 10.39%
    Golgari (BG): 10.25%
    Rakdos (BR): 8.28%
    Esper (WUB): 7.44%
    Abzan (WBG): 7.25%
    Orzhov (WB): 6.88%
    Sultai (BGU): 6.57%
    Mardu (RWB): 5.41%
    Grixis (UBR): 4.98%
    Jund (BRG): 4.63%
    Five Color (WUBRG): 3.1%
    Boros (RW): 2.33%
    Mono Red: 1.53%
    Azorius (WU) : 0.95%
    Mono White: 0.76%
    Growth (WUBG): 0.56%
    Aggression (WBRG): 0.48%
    Selesnya (GW): 0.48%
    Mono Blue: 0.37%
    Artifice (WUBR): 0.35%
    Naya (RGW): 0.29%
    Gruul (RG): 0.29%
    Chaos (UBRG): 0.27%
    Mono Green: 0.25%
    Simic (GU): 0.23%
    Altruism (WURG): 0.19%
    Bant (GWU): 0.19%
    Jeskai (URW): 0.17%
    Izzet (UR): 0.14%
    Temur (GUR): 0.08%
~~~~~-1/-1 Counters~~~~~
    Mono Black: 20.34%
    Golgari (BG): 19.49%
    Dimir (UB): 12.2%
    Sultai (BGU): 7.97%
    Growth (WUBG): 7.63%
    Rakdos (BR): 7.12%
    Abzan (WBG): 5.25%
    Bant (GWU): 4.58%
    Orzhov (WB): 3.56%
    Simic (GU): 2.37%
    Jund (BRG): 2.2%
    Esper (WUB): 2.2%
    Grixis (UBR): 2.03%
    Mono Green: 1.86%
    Aggression (WBRG): 1.53%
    Mardu (RWB): 1.53%
    Selesnya (GW): 1.53%
    Azorius (WU) : 1.19%
    Mono Blue: 1.19%
    Mono White: 1.19%
    Altruism (WURG): 1.02%
    Chaos (UBRG): 1.02%
    Artifice (WUBR): 1.02%
    Jeskai (URW): 1.02%
    Boros (RW): 0.85%
    Izzet (UR): 0.85%
    Five Color (WUBRG): 0.85%
    Temur (GUR): 0.85%
    Naya (RGW): 0.85%
    Gruul (RG): 0.85%
    Mono Red: 0.51%
~~~~~Aggro~~~~~
    Gruul (RG): 9.49%
    Mono Red: 9.17%
    Mardu (RWB): 8.38%
    Boros (RW): 7.85%
    Mono Green: 5.43%
    Rakdos (BR): 5.35%
    Naya (RGW): 5.27%
    Five Color (WUBRG): 4.49%
    Dimir (UB): 3.77%
    Mono White: 3.71%
    Selesnya (GW): 3.5%
    Golgari (BG): 3.49%
    Jund (BRG): 3.11%
    Izzet (UR): 2.29%
    Mono Black: 2.07%
    Simic (GU): 1.92%
    Temur (GUR): 1.92%
    Orzhov (WB): 1.8%
    Bant (GWU): 1.74%
    Grixis (UBR): 1.58%
    Azorius (WU) : 1.49%
    Esper (WUB): 1.46%
    Aggression (WBRG): 1.36%
    Mono Blue: 1.28%
    Abzan (WBG): 1.22%
    Jeskai (URW): 0.97%
    Sultai (BGU): 0.83%
    Artifice (WUBR): 0.4%
    Growth (WUBG): 0.39%
    Altruism (WURG): 0.21%
    Chaos (UBRG): 0.2%
~~~~~Aristocrats~~~~~
    Orzhov (WB): 17.18%
    Golgari (BG): 14.9%
    Mono Black: 13.6%
    Mardu (RWB): 9.03%
    Jund (BRG): 8.23%
    Rakdos (BR): 7.19%
    Abzan (WBG): 5.66%
    Dimir (UB): 5.11%
    Grixis (UBR): 3.02%
    Esper (WUB): 2.55%
    Sultai (BGU): 1.23%
    Boros (RW): 0.99%
    Mono Red: 0.71%
    Mono Green: 0.64%
    Five Color (WUBRG): 0.54%
    Aggression (WBRG): 0.52%
    Gruul (RG): 0.52%
    Naya (RGW): 0.47%
    Artifice (WUBR): 0.45%
    Selesnya (GW): 0.4%
    Mono Blue: 0.35%
    Azorius (WU) : 0.33%
    Mono White: 0.31%
    Simic (GU): 0.28%
    Izzet (UR): 0.24%
    Temur (GUR): 0.24%
    Altruism (WURG): 0.16%
    Growth (WUBG): 0.16%
    Jeskai (URW): 0.14%
    Bant (GWU): 0.14%
    Chaos (UBRG): 0.12%
~~~~~Combo~~~~~
    Five Color (WUBRG): 5.33%
    Izzet (UR): 5.29%
    Golgari (BG): 4.88%
    Grixis (UBR): 4.55%
    Dimir (UB): 4.48%
    Mono Blue: 4.39%
    Mono Black: 4.37%
