all hubs sorted
Combo, 14292, 5.69%
Casual, 13053, 5.19%
Tribal, 12347, 4.91%
Primer, 10980, 4.37%
Competitive, 9876, 3.93%
Tokens, 9015, 3.59%
Aggro, 8136, 3.24%
Budget, 7577, 3.01%
Control, 6175, 2.46%
Artifacts, 5781, 2.3%
+1/+1 Counters, 5350, 2.13%
Reanimator, 5125, 2.04%
Midrange, 4932, 1.96%
Ramp, 4224, 1.68%
Aristocrats, 4222, 1.68%
Voltron, 3737, 1.49%
Spellslinger, 3556, 1.41%
Enchantments, 3406, 1.35%
Five Color (WUBRG), 3316, 1.32%
Stax, 3144, 1.25%
Jank, 3122, 1.24%
Dimir (UB), 3016, 1.2%
Golgari (BG), 2957, 1.18%
Life Gain, 2923, 1.16%
Lands Matter, 2889, 1.15%
Storm, 2625, 1.04%
Rakdos (BR), 2478, 0.99%
Izzet (UR), 2392, 0.95%
Mono Black, 2384, 0.95%
Mardu (RWB), 2381, 0.95%
Simic (GU), 2323, 0.92%
Goodstuff, 2297, 0.91%
Mono Red, 2293, 0.91%
Mill, 2284, 0.91%
Gruul (RG), 2281, 0.91%
Esper (WUB), 2238, 0.89%
Grixis (UBR), 2188, 0.87%
Boros (RW), 2165, 0.86%
Equipment, 2122, 0.84%
Orzhov (WB), 2088, 0.83%
Help Wanted, 2066, 0.82%
Azorius (WU) , 2064, 0.82%
Selesnya (GW), 2061, 0.82%
Battlecruiser, 2053, 0.82%
Mono Green, 1984, 0.79%
Sultai (BGU), 1926, 0.77%
Burn, 1923, 0.77%
Naya (RGW), 1883, 0.75%
Mono Blue, 1846, 0.73%
Discard, 1782, 0.71%
Blink / Flicker, 1782, 0.71%
Jund (BRG), 1711, 0.68%
Toolbox, 1677, 0.67%
Mono White, 1665, 0.66%
Temur (GUR), 1626, 0.65%
Bant (GWU), 1591, 0.63%
Flying, 1556, 0.62%
Clones, 1392, 0.55%
Tempo, 1376, 0.55%
Hatebears, 1373, 0.55%
Group Slug, 1329, 0.53%
Jeskai (URW), 1283, 0.51%
Auras, 1275, 0.51%
Abzan (WBG), 1267, 0.5%
Wheels, 1155, 0.46%
Extra Combats, 1126, 0.45%
Extra Turns, 1115, 0.44%
Chaos, 942, 0.37%
Pillowfort, 938, 0.37%
Infect, 905, 0.36%
Super Friends, 878, 0.35%
Group Hug, 815, 0.32%
Birthing Pod / Pod, 721, 0.29%
Suicide, 716, 0.28%
Death & Taxes, 687, 0.27%
Farm, 653, 0.26%
Vehicles, 628, 0.25%
Thieves, 624, 0.25%
Dredge, 589, 0.23%
-1/-1 Counters, 588, 0.23%
Land Destruction, 583, 0.23%
Turbo, 557, 0.22%
Growth (WUBG), 510, 0.2%
Colorless, 505, 0.2%
Unmaintained, 485, 0.19%
Zoo, 479, 0.19%
Mutate, 451, 0.18%
Modified, 429, 0.17%
Altruism (WURG), 425, 0.17%
Artifice (WUBR), 424, 0.17%
Devotion, 387, 0.15%
Cycling, 369, 0.15%
Snow, 366, 0.15%
Affinity, 365, 0.15%
Aggression (WBRG), 338, 0.13%
Eggs, 319, 0.13%
Historic, 318, 0.13%
Chaos (UBRG), 272, 0.11%
Defender, 269, 0.11%
Rock, 262, 0.1%
Vorthos, 254, 0.1%
Morph, 217, 0.09%
Webcam Friendly, 212, 0.08%
Aikido, 203, 0.08%
Formula X-1, 161, 0.06%
Tron, 147, 0.06%
Stoneblade, 106, 0.04%
Modular, 105, 0.04%
PlayEDH - Low, 84, 0.03%
PlayEDH - Mid, 79, 0.03%
Delver, 78, 0.03%
Miracles, 71, 0.03%
Blue Moon, 67, 0.03%
PlayEDH - High, 64, 0.03%
PlayEDH - Maximum, 59, 0.02%
Maverick, 56, 0.02%
PlayEDH - Battlecruiser, 30, 0.01%

most popular color hubs
Five Color (WUBRG), 3316, 1.32%
Dimir (UB), 3016, 1.2%
Golgari (BG), 2957, 1.18%
Rakdos (BR), 2478, 0.99%
Izzet (UR), 2392, 0.95%
Mono Black, 2384, 0.95%
Mardu (RWB), 2381, 0.95%
Simic (GU), 2323, 0.92%
Mono Red, 2293, 0.91%
Gruul (RG), 2281, 0.91%
Esper (WUB), 2238, 0.89%
Grixis (UBR), 2188, 0.87%
Boros (RW), 2165, 0.86%
Orzhov (WB), 2088, 0.83%
Azorius (WU) , 2064, 0.82%
Selesnya (GW), 2061, 0.82%
Mono Green, 1984, 0.79%
Sultai (BGU), 1926, 0.77%
Naya (RGW), 1883, 0.75%
Mono Blue, 1846, 0.73%
